IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,IRL,Ireland,Year,2018,true,,,,,,,,,,,,,29.7,,,,,,29.7,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,ESP,Spain,Year,2018,true,,,,,,,,,,,,,29.7,,,,,,29.7,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,ISR,Israel,Year,2018,true,,,,,,,,,,,,,29.8,,,,,,29.8,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,ITA,Italy,Year,2018,true,,,,,,,,,,,,,31.4,,,,,,31.4,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,NLD,Netherlands,Year,2018,true,,,,,,,,,,,,,31.7,,,,,,31.7,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,PRT,Portugal,Year,2018,true,,,,,,,,,,,,,34.5,,,,,,34.5,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,NOR,Norway,Year,2018,true,,,,,,,,,,,,,35.3,,,,,,35.3,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,FIN,Finland,Year,2018,true,,,,,,,,,,,,,36.1,,,,,,36.1,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,GRC,Greece,Year,2018,true,,,,,,,,,,,,,42,,,,,,42,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,SVN,Slovenia,Year,2018,true,,,,,,,,,,,,,44.3,,,,,,44.3,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,LUX,Luxembourg,Year,2018,false,,,,,,,,,,,,,45.1,,,,,,45.1,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,EST,Estonia,Year,2018,true,,,,,,,,,,,,,45.7,,,,,,45.7,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,CHE,Switzerland,Year,2018,true,,,,,,,,,,,,,46.3,,,,,,46.3,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,LVA,Latvia,Year,2018,true,,,,,,,,,,,,,54.9,,,,,,54.9,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,BEL,Belgium,Year,2018,false,,,,,,,,,,,,,56.2,,,,,,56.2,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,SVK,Slovakia,Year,2018,true,,,,,,,,,,,,,57,,,,,,57,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,FRA,France,Year,2018,true,,,,,,,,,,,,,59.1,,,,,,59.1,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,LTU,Lithuania,Year,2018,true,,,,,,,,,,,,,64.3,,,,,,64.3,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,POL,Poland,Year,2018,true,,,,,,,,,,,,,65.4,,,,,,65.4,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,CZE,Czechia,Year,2018,true,,,,,,,,,,,,,66.2,,,,,,66.2,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,HUN,Hungary,Year,2018,true,,,,,,,,,,,,,70.1,,,,,,70.1,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2018,true,,,,,,,,,,,,,71.2,,,,,,71.2,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,AUT,Austria,Year,2018,true,,,,,,,,,,,,,72.7,,,,,,72.7,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,MEX,Mexico,Year,2018,true,,,,,,,,,,,,,9.8,,,,,,9.8,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2017,true,,,,,,,,,,,,,10,,,,,,10,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,BLZ,Belize,Year,2017,true,,,,,,,,,,,,,10.36,,,,,,10.36,,WHO PAHO PLISA (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2017,true,,,,,,,,,,,,,10.4,,,,,,10.4,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2017,true,,,,,,,,,,,,,10.44,,,,,,10.44,,Official report to WHO,EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2017,false,,,,,,,,,,,,,11.4,,,,,,11.4,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,SLV,El Salvador,Year,2017,true,,,,,,,,,,,,,11.99,,,,,,11.99,,WHO PAHO PLISA (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2017,true,,,,,,,,,,,,,12.5,,,,,,12.5,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2017,true,,,,,,,,,,,,,12.93,,,,,,12.93,,WHO PAHO PLISA (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2017,true,,,,,,,,,,,,,12.97,,,,,,12.97,,WHO PAHO PLISA (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2017,false,,,,,,,,,,,,,122.7,,,,,,122.7,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2017,true,,,,,,,,,,,,,13.2,,,,,,13.2,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2017,true,,,,,,,,,,,,,13.8,,,,,,13.8,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2017,false,,,,,,,,,,,,,130.5,,,,,,130.5,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2017,true,,,,,,,,,,,,,14,,,,,,14,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2017,true,,,,,,,,,,,,,14,,,,,,14,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2017,true,,,,,,,,,,,,,14.3,,,,,,14.3,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2017,true,,,,,,,,,,,,,14.7,,,,,,14.7,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2017,true,,,,,,,,,,,,,14.7,,,,,,14.7,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2017,true,,,,,,,,,,,,,15.56,,,,,,15.56,,Ministerio de Salud Publica. Serie publicada en Indicadores Básicos de Salud Nacionales.,EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2017,true,,,,,,,,,,,,,15.6,,,,,,15.6,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,PER,Peru,Year,2017,true,,,,,,,,,,,,,15.91,,,,,,15.91,,WHO PAHO PLISA (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,COL,Colombia,Year,2017,false,,,,,,,,,,,,,17,,,,,,17,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,JAM,Jamaica,Year,2017,true,,,,,,,,,,,,,17.17,,,,,,17.17,,WHO PAHO PLISA (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2017,true,,,,,,,,,,,,,17.4,,,,,,17.4,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2017,true,,,,,,,,,,,,,18.77,,,,,,18.77,,Malaysia Annual Health Indicators Report,EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2017,true,,,,,,,,,,,,,20.4,,,,,,20.4,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,BRA,Brazil,Year,2017,true,,,,,,,,,,,,,20.87,,,,,,20.87,,WHO PAHO PLISA (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,CHL,Chile,Year,2017,false,,,,,,,,,,,,,21.1,,,,,,21.1,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2017,true,,,,,,,,,,,,,21.8,,,,,,21.8,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,SWE,Sweden,Year,2017,false,,,,,,,,,,,,,22.1,,,,,,22.1,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2017,true,,,,,,,,,,,,,22.4,,,,,,22.4,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,URY,Uruguay,Year,2017,true,,,,,,,,,,,,,24.25,,,,,,24.25,,WHO PAHO PLISA (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2017,true,,,,,,,,,,,,,24.86,,,,,,24.86,,Singapore Department of Statistics,EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,CAN,Canada,Year,2017,false,,,,,,,,,,,,,25.3,,,,,,25.3,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2017,false,,,,,,,,,,,,,25.4,,,,,,25.4,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,DNK,Denmark,Year,2017,false,,,,,,,,,,,,,26.1,,,,,,26.1,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2017,true,,,,,,,,,,,,,27.3,,,,,,27.3,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2017,false,,,,,,,,,,,,,27.3,,,,,,27.3,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,TUR,Turkey,Year,2017,false,,,,,,,,,,,,,28.1,,,,,,28.1,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2017,true,,,,,,,,,,,,,28.5,,,,,,28.5,,Brunei Darussalam Health Information Booklet,EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,USA,United States of America,Year,2017,true,,,,,,,,,,,,,28.7,,,,,,28.7,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2017,true,,,,,,,,,,,,,28.92,,,,,,28.92,,WHO PAHO PLISA (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,BHS,Bahamas,Year,2017,true,,,,,,,,,,,,,29.57,,,,,,29.57,,WHO PAHO PLISA (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,IRL,Ireland,Year,2017,false,,,,,,,,,,,,,29.7,,,,,,29.7,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,ESP,Spain,Year,2017,false,,,,,,,,,,,,,29.7,,,,,,29.7,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2017,true,,,,,,,,,,,,,3.9,,,,,,3.9,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AFR,Africa,Country,NER,Niger,Year,2017,true,,,,,,,,,,,,,3.9,,,,,,3.9,,Annuaire des statistiques 2017 (Niger),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,SUR,Suriname,Year,2017,true,,,,,,,,,,,,,30.01,,,,,,30.01,,WHO PAHO PLISA (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,ISR,Israel,Year,2017,false,,,,,,,,,,,,,30.2,,,,,,30.2,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,AMR,Americas,Country,TTO,Trinidad and Tobago,Year,2017,true,,,,,,,,,,,,,30.24,,,,,,30.24,,WHO PAHO PLISA (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,ISL,Iceland,Year,2017,false,,,,,,,,,,,,,30.6,,,,,,30.6,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,ITA,Italy,Year,2017,false,,,,,,,,,,,,,31.8,,,,,,31.8,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2017,true,,,,,,,,,,,,,32,,,,,,32,,WHO EMRO regional observatory (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,FIN,Finland,Year,2017,false,,,,,,,,,,,,,32.8,,,,,,32.8,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,NLD,Netherlands,Year,2017,false,,,,,,,,,,,,,32.8,,,,,,32.8,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,PRT,Portugal,Year,2017,false,,,,,,,,,,,,,33.9,,,,,,33.9,,"OECD (2020), Hospital beds (indicator). (Accessed on 30 June 2020)",EN,2020-07-01T04:00:00.000Z
WHS6_102,Hospital beds (per 10 000 population),numeric,EUR,Europe,Country,CYP,Cyprus,Year,2017,true,,,,,,,,,,,,,34,,,,,,34,,Eurostat (Accessed on 26 May 2020),EN,2020-07-01T04:00:00.000Z
